Country,Event month,Event Type,Events
Saint Pierre and Miquelon,2022-04-01,Protests,0
Saint Pierre and Miquelon,2022-04-01,Riots,0
Saint Pierre and Miquelon,2022-04-01,Strategic developments,1
Saint Pierre and Miquelon,2022-04-01,Violence against civilians,0
Kiribati,2022-04-01,Battles,0
Kiribati,2022-04-01,Explosions/Remote violence,0
Kiribati,2022-04-01,Protests,0
Kiribati,2022-04-01,Riots,0
Kiribati,2022-04-01,Strategic developments,0
Kiribati,2022-04-01,Violence against civilians,0
Montserrat,2022-04-01,Battles,0
Montserrat,2022-04-01,Explosions/Remote violence,0
Montserrat,2022-04-01,Protests,1
Montserrat,2022-04-01,Riots,0
Montserrat,2022-04-01,Strategic developments,0
Montserrat,2022-04-01,Violence against civilians,0
British Virgin Islands,2022-04-01,Battles,0
British Virgin Islands,2022-04-01,Explosions/Remote violence,0
British Virgin Islands,2022-04-01,Protests,0
British Virgin Islands,2022-04-01,Riots,0
British Virgin Islands,2022-04-01,Strategic developments,0
British Virgin Islands,2022-04-01,Violence against civilians,0
Nauru,2022-04-01,Battles,0
Nauru,2022-04-01,Explosions/Remote violence,0
Nauru,2022-04-01,Protests,0
Nauru,2022-04-01,Riots,0
Nauru,2022-04-01,Strategic developments,0
Nauru,2022-04-01,Violence against civilians,0
Saint Kitts and Nevis,2022-04-01,Battles,0
Saint Kitts and Nevis,2022-04-01,Explosions/Remote violence,0
Saint Kitts and Nevis,2022-04-01,Protests,0
Saint Kitts and Nevis,2022-04-01,Riots,0
Saint Kitts and Nevis,2022-04-01,Strategic developments,0
Saint Kitts and Nevis,2022-04-01,Violence against civilians,0
Cayman Islands,2022-04-01,Battles,0
Cayman Islands,2022-04-01,Explosions/Remote violence,0
Cayman Islands,2022-04-01,Protests,0
Cayman Islands,2022-04-01,Riots,0
Cayman Islands,2022-04-01,Strategic developments,0
Cayman Islands,2022-04-01,Violence against civilians,0
Vatican City,2022-04-01,Battles,0
Vatican City,2022-04-01,Explosions/Remote violence,0
Vatican City,2022-04-01,Protests,0
Vatican City,2022-04-01,Riots,0
Vatican City,2022-04-01,Strategic developments,0
Vatican City,2022-04-01,Violence against civilians,0
Faroe Islands,2022-04-01,Battles,0
Faroe Islands,2022-04-01,Explosions/Remote violence,0
Faroe Islands,2022-04-01,Protests,0
Faroe Islands,2022-04-01,Riots,0
Faroe Islands,2022-04-01,Strategic developments,0
Faroe Islands,2022-04-01,Violence against civilians,0
Tokelau,2022-04-01,Battles,0
Tokelau,2022-04-01,Explosions/Remote violence,0
Tokelau,2022-04-01,Protests,0
Tokelau,2022-04-01,Riots,0
Tokelau,2022-04-01,Strategic developments,0
Tokelau,2022-04-01,Violence against civilians,0
Niue,2022-04-01,Battles,0
Niue,2022-04-01,Explosions/Remote violence,0
Niue,2022-04-01,Protests,0
Niue,2022-04-01,Riots,0
Niue,2022-04-01,Strategic developments,0
Niue,2022-04-01,Violence against civilians,0
Marshall Islands,2022-04-01,Battles,0
Marshall Islands,2022-04-01,Explosions/Remote violence,0
Marshall Islands,2022-04-01,Protests,0
Marshall Islands,2022-04-01,Riots,0
Marshall Islands,2022-04-01,Strategic developments,0
Marshall Islands,2022-04-01,Violence against civilians,0
Brunei,2022-04-01,Battles,0
Brunei,2022-04-01,Explosions/Remote violence,0
Brunei,2022-04-01,Protests,0
Brunei,2022-04-01,Riots,0
Brunei,2022-04-01,Strategic developments,0
Brunei,2022-04-01,Violence against civilians,0
Tuvalu,2022-04-01,Battles,0
Tuvalu,2022-04-01,Explosions/Remote violence,0
Tuvalu,2022-04-01,Protests,0
Tuvalu,2022-04-01,Riots,0
Tuvalu,2022-04-01,Strategic developments,0
Tuvalu,2022-04-01,Violence against civilians,0
Afghanistan,2022-05-01,Battles,125
Afghanistan,2022-05-01,Explosions/Remote violence,52
Afghanistan,2022-05-01,Protests,7
Afghanistan,2022-05-01,Riots,5
Afghanistan,2022-05-01,Strategic developments,23
Afghanistan,2022-05-01,Violence against civilians,99
Algeria,2022-05-01,Battles,0
Algeria,2022-05-01,Explosions/Remote violence,0
Algeria,2022-05-01,Protests,26
Algeria,2022-05-01,Riots,5
Algeria,2022-05-01,Strategic developments,0
Algeria,2022-05-01,Violence against civilians,0
Azerbaijan,2022-05-01,Battles,16
Azerbaijan,2022-05-01,Explosions/Remote violence,4
Azerbaijan,2022-05-01,Protests,14
Azerbaijan,2022-05-01,Riots,0
Azerbaijan,2022-05-01,Strategic developments,3
Azerbaijan,2022-05-01,Violence against civilians,0
Bangladesh,2022-05-01,Battles,1
Bangladesh,2022-05-01,Explosions/Remote violence,0
Bangladesh,2022-05-01,Protests,82
Bangladesh,2022-05-01,Riots,47
Bangladesh,2022-05-01,Strategic developments,0
Bangladesh,2022-05-01,Violence against civilians,17
Belize,2022-05-01,Battles,0
Belize,2022-05-01,Explosions/Remote violence,0
Belize,2022-05-01,Protests,3
Belize,2022-05-01,Riots,0
Belize,2022-05-01,Strategic developments,1
Belize,2022-05-01,Violence against civilians,6
Benin,2022-05-01,Battles,2
Benin,2022-05-01,Explosions/Remote violence,0
Benin,2022-05-01,Protests,1
Benin,2022-05-01,Riots,4
Benin,2022-05-01,Strategic developments,0
Benin,2022-05-01,Violence against civilians,2
Brazil,2022-05-01,Battles,386
Brazil,2022-05-01,Explosions/Remote violence,7
Brazil,2022-05-01,Protests,242
Brazil,2022-05-01,Riots,52
Brazil,2022-05-01,Strategic developments,29
Brazil,2022-05-01,Violence against civilians,427
Burkina Faso,2022-05-01,Battles,53
Burkina Faso,2022-05-01,Explosions/Remote violence,37
Burkina Faso,2022-05-01,Protests,8
Burkina Faso,2022-05-01,Riots,4
Burkina Faso,2022-05-01,Strategic developments,67
Burkina Faso,2022-05-01,Violence against civilians,57
Burundi,2022-05-01,Battles,4
Burundi,2022-05-01,Explosions/Remote violence,1
Burundi,2022-05-01,Protests,3
Burundi,2022-05-01,Riots,4
Burundi,2022-05-01,Strategic developments,1
Burundi,2022-05-01,Violence against civilians,21
Cameroon,2022-05-01,Battles,76
Cameroon,2022-05-01,Explosions/Remote violence,11
Cameroon,2022-05-01,Protests,15
Cameroon,2022-05-01,Riots,15
Cameroon,2022-05-01,Strategic developments,41
Cameroon,2022-05-01,Violence against civilians,89
Central African Republic,2022-05-01,Battles,15
Central African Republic,2022-05-01,Explosions/Remote violence,0
Central African Republic,2022-05-01,Protests,2
Central African Republic,2022-05-01,Riots,1
Central African Republic,2022-05-01,Strategic developments,5
Central African Republic,2022-05-01,Violence against civilians,14
Chad,2022-05-01,Battles,7
Chad,2022-05-01,Explosions/Remote violence,0
Chad,2022-05-01,Protests,13
Chad,2022-05-01,Riots,7
Chad,2022-05-01,Strategic developments,2
Chad,2022-05-01,Violence against civilians,4
Chile,2022-05-01,Battles,5
Chile,2022-05-01,Explosions/Remote violence,3
Chile,2022-05-01,Protests,115
Chile,2022-05-01,Riots,45
Chile,2022-05-01,Strategic developments,24
Chile,2022-05-01,Violence against civilians,13
Colombia,2022-05-01,Battles,65
Colombia,2022-05-01,Explosions/Remote violence,22
Colombia,2022-05-01,Protests,128
Colombia,2022-05-01,Riots,30
Colombia,2022-05-01,Strategic developments,100
Colombia,2022-05-01,Violence against civilians,131
Democratic Republic of Congo,2022-05-01,Battles,101
Democratic Republic of Congo,2022-05-01,Explosions/Remote violence,5
Democratic Republic of Congo,2022-05-01,Protests,18
Democratic Republic of Congo,2022-05-01,Riots,23
Democratic Republic of Congo,2022-05-01,Strategic developments,44
Democratic Republic of Congo,2022-05-01,Violence against civilians,79
Egypt,2022-05-01,Battles,5
Egypt,2022-05-01,Explosions/Remote violence,3
Egypt,2022-05-01,Protests,0
Egypt,2022-05-01,Riots,0
Egypt,2022-05-01,Strategic developments,0
Egypt,2022-05-01,Violence against civilians,1
El Salvador,2022-05-01,Battles,23
El Salvador,2022-05-01,Explosions/Remote violence,0
El Salvador,2022-05-01,Protests,9
El Salvador,2022-05-01,Riots,0
El Salvador,2022-05-01,Strategic developments,63
El Salvador,2022-05-01,Violence against civilians,1
Ethiopia,2022-05-01,Battles,34
Ethiopia,2022-05-01,Explosions/Remote violence,5
Ethiopia,2022-05-01,Protests,8
Ethiopia,2022-05-01,Riots,1
Ethiopia,2022-05-01,Strategic developments,12
Ethiopia,2022-05-01,Violence against civilians,28
Greece,2022-05-01,Battles,0
Greece,2022-05-01,Explosions/Remote violence,1
Greece,2022-05-01,Protests,33
Greece,2022-05-01,Riots,11
Greece,2022-05-01,Strategic developments,14
Greece,2022-05-01,Violence against civilians,3
Guatemala,2022-05-01,Battles,27
Guatemala,2022-05-01,Explosions/Remote violence,0
Guatemala,2022-05-01,Protests,26
Guatemala,2022-05-01,Riots,1
Guatemala,2022-05-01,Strategic developments,3
Guatemala,2022-05-01,Violence against civilians,36
Guyana,2022-05-01,Battles,0
Guyana,2022-05-01,Explosions/Remote violence,0
Guyana,2022-05-01,Protests,4
Guyana,2022-05-01,Riots,0
Guyana,2022-05-01,Strategic developments,0
Guyana,2022-05-01,Violence against civilians,0
Haiti,2022-05-01,Battles,46
Haiti,2022-05-01,Explosions/Remote violence,0
Haiti,2022-05-01,Protests,9
Haiti,2022-05-01,Riots,16
Haiti,2022-05-01,Strategic developments,11
Haiti,2022-05-01,Violence against civilians,60
Honduras,2022-05-01,Battles,9
Honduras,2022-05-01,Explosions/Remote violence,0
Honduras,2022-05-01,Protests,122
Honduras,2022-05-01,Riots,20
Honduras,2022-05-01,Strategic developments,13
Honduras,2022-05-01,Violence against civilians,45
India,2022-05-01,Battles,26
India,2022-05-01,Explosions/Remote violence,14
India,2022-05-01,Protests,1117
India,2022-05-01,Riots,144
India,2022-05-01,Strategic developments,46
India,2022-05-01,Violence against civilians,50
Indonesia,2022-05-01,Battles,3
Indonesia,2022-05-01,Explosions/Remote violence,0
Indonesia,2022-05-01,Protests,179
Indonesia,2022-05-01,Riots,11
Indonesia,2022-05-01,Strategic developments,4
Indonesia,2022-05-01,Violence against civilians,9
Iran,2022-05-01,Battles,2
Iran,2022-05-01,Explosions/Remote violence,0
Iran,2022-05-01,Protests,274
Iran,2022-05-01,Riots,8
Iran,2022-05-01,Strategic developments,7
Iran,2022-05-01,Violence against civilians,11
Iraq,2022-05-01,Battles,260
Iraq,2022-05-01,Explosions/Remote violence,400
Iraq,2022-05-01,Protests,99
Iraq,2022-05-01,Riots,13
Iraq,2022-05-01,Strategic developments,61
Iraq,2022-05-01,Violence against civilians,50
Jamaica,2022-05-01,Battles,5
Jamaica,2022-05-01,Explosions/Remote violence,0
Jamaica,2022-05-01,Protests,10
Jamaica,2022-05-01,Riots,8
Jamaica,2022-05-01,Strategic developments,0
Jamaica,2022-05-01,Violence against civilians,29
Kenya,2022-05-01,Battles,7
Kenya,2022-05-01,Explosions/Remote violence,0
Kenya,2022-05-01,Protests,65
Kenya,2022-05-01,Riots,44
Kenya,2022-05-01,Strategic developments,9
Kenya,2022-05-01,Violence against civilians,26
Lebanon,2022-05-01,Battles,11
Lebanon,2022-05-01,Explosions/Remote violence,1
Lebanon,2022-05-01,Protests,73
Lebanon,2022-05-01,Riots,46
Lebanon,2022-05-01,Strategic developments,8
Lebanon,2022-05-01,Violence against civilians,6
Libya,2022-05-01,Battles,6
Libya,2022-05-01,Explosions/Remote violence,1
Libya,2022-05-01,Protests,4
Libya,2022-05-01,Riots,3
Libya,2022-05-01,Strategic developments,1
Libya,2022-05-01,Violence against civilians,2
Madagascar,2022-05-01,Battles,9
Madagascar,2022-05-01,Explosions/Remote violence,0
Madagascar,2022-05-01,Protests,11
Madagascar,2022-05-01,Riots,11
Madagascar,2022-05-01,Strategic developments,1
Madagascar,2022-05-01,Violence against civilians,10
Mali,2022-05-01,Battles,42
Mali,2022-05-01,Explosions/Remote violence,13
Mali,2022-05-01,Protests,3
Mali,2022-05-01,Riots,0
Mali,2022-05-01,Strategic developments,26
Mali,2022-05-01,Violence against civilians,70
Mexico,2022-05-01,Battles,94
Mexico,2022-05-01,Explosions/Remote violence,2
Mexico,2022-05-01,Protests,689
Mexico,2022-05-01,Riots,76
Mexico,2022-05-01,Strategic developments,83
Mexico,2022-05-01,Violence against civilians,526
Mozambique,2022-05-01,Battles,8
Mozambique,2022-05-01,Explosions/Remote violence,0
Mozambique,2022-05-01,Protests,3
Mozambique,2022-05-01,Riots,0
Mozambique,2022-05-01,Strategic developments,15
Mozambique,2022-05-01,Violence against civilians,36
Myanmar,2022-05-01,Battles,330
Myanmar,2022-05-01,Explosions/Remote violence,279
Myanmar,2022-05-01,Protests,175
Myanmar,2022-05-01,Riots,0
Myanmar,2022-05-01,Strategic developments,427
Myanmar,2022-05-01,Violence against civilians,199
Niger,2022-05-01,Battles,6
Niger,2022-05-01,Explosions/Remote violence,3
Niger,2022-05-01,Protests,1
Niger,2022-05-01,Riots,2
Niger,2022-05-01,Strategic developments,18
Niger,2022-05-01,Violence against civilians,21
Nigeria,2022-05-01,Battles,93
Nigeria,2022-05-01,Explosions/Remote violence,11
Nigeria,2022-05-01,Protests,93
Nigeria,2022-05-01,Riots,49
Nigeria,2022-05-01,Strategic developments,22
Nigeria,2022-05-01,Violence against civilians,128
Pakistan,2022-05-01,Battles,22
Pakistan,2022-05-01,Explosions/Remote violence,36
Pakistan,2022-05-01,Protests,487
Pakistan,2022-05-01,Riots,36
Pakistan,2022-05-01,Strategic developments,11
Pakistan,2022-05-01,Violence against civilians,18
Palestine,2022-05-01,Battles,19
Palestine,2022-05-01,Explosions/Remote violence,0
Palestine,2022-05-01,Protests,79
Palestine,2022-05-01,Riots,421
Palestine,2022-05-01,Strategic developments,182
Palestine,2022-05-01,Violence against civilians,28
Peru,2022-05-01,Battles,0
Peru,2022-05-01,Explosions/Remote violence,0
Peru,2022-05-01,Protests,115
Peru,2022-05-01,Riots,23
Peru,2022-05-01,Strategic developments,0
Peru,2022-05-01,Violence against civilians,0
Philippines,2022-05-01,Battles,38
Philippines,2022-05-01,Explosions/Remote violence,15
Philippines,2022-05-01,Protests,43
Philippines,2022-05-01,Riots,2
Philippines,2022-05-01,Strategic developments,10
Philippines,2022-05-01,Violence against civilians,57
Puerto Rico,2022-05-01,Battles,7
Puerto Rico,2022-05-01,Explosions/Remote violence,0
Puerto Rico,2022-05-01,Protests,3
Puerto Rico,2022-05-01,Riots,0
Puerto Rico,2022-05-01,Strategic developments,7
Puerto Rico,2022-05-01,Violence against civilians,18
Russia,2022-05-01,Battles,0
Russia,2022-05-01,Explosions/Remote violence,24
Russia,2022-05-01,Protests,102
Russia,2022-05-01,Riots,0
Russia,2022-05-01,Strategic developments,26
Russia,2022-05-01,Violence against civilians,10
Rwanda,2022-05-01,Battles,1
Rwanda,2022-05-01,Explosions/Remote violence,3
Rwanda,2022-05-01,Protests,0
Rwanda,2022-05-01,Riots,0
Rwanda,2022-05-01,Strategic developments,0
Rwanda,2022-05-01,Violence against civilians,1
Senegal,2022-05-01,Battles,0
Senegal,2022-05-01,Explosions/Remote violence,0
Senegal,2022-05-01,Protests,9
Senegal,2022-05-01,Riots,5
Senegal,2022-05-01,Strategic developments,0
Senegal,2022-05-01,Violence against civilians,0
Sierra Leone,2022-05-01,Battles,0
Sierra Leone,2022-05-01,Explosions/Remote violence,0
Sierra Leone,2022-05-01,Protests,0
Sierra Leone,2022-05-01,Riots,1
Sierra Leone,2022-05-01,Strategic developments,2
Sierra Leone,2022-05-01,Violence against civilians,0
Somalia,2022-05-01,Battles,179
Somalia,2022-05-01,Explosions/Remote violence,55
Somalia,2022-05-01,Protests,9
Somalia,2022-05-01,Riots,1
Somalia,2022-05-01,Strategic developments,17
Somalia,2022-05-01,Violence against civilians,33
South Sudan,2022-05-01,Battles,15
South Sudan,2022-05-01,Explosions/Remote violence,1
South Sudan,2022-05-01,Protests,3
South Sudan,2022-05-01,Riots,3
South Sudan,2022-05-01,Strategic developments,3
South Sudan,2022-05-01,Violence against civilians,22
Sudan,2022-05-01,Battles,20
Sudan,2022-05-01,Explosions/Remote violence,4
Sudan,2022-05-01,Protests,141
Sudan,2022-05-01,Riots,16
Sudan,2022-05-01,Strategic developments,22
Sudan,2022-05-01,Violence against civilians,40
Syria,2022-05-01,Battles,169
Syria,2022-05-01,Explosions/Remote violence,626
Syria,2022-05-01,Protests,25
Syria,2022-05-01,Riots,6
Syria,2022-05-01,Strategic developments,81
Syria,2022-05-01,Violence against civilians,158
Thailand,2022-05-01,Battles,1
Thailand,2022-05-01,Explosions/Remote violence,0
Thailand,2022-05-01,Protests,33
Thailand,2022-05-01,Riots,0
Thailand,2022-05-01,Strategic developments,4
Thailand,2022-05-01,Violence against civilians,0
Trinidad and Tobago,2022-05-01,Battles,9
Trinidad and Tobago,2022-05-01,Explosions/Remote violence,0
Trinidad and Tobago,2022-05-01,Protests,11
Trinidad and Tobago,2022-05-01,Riots,3
Trinidad and Tobago,2022-05-01,Strategic developments,1
Trinidad and Tobago,2022-05-01,Violence against civilians,19
Turkey,2022-05-01,Battles,12
Turkey,2022-05-01,Explosions/Remote violence,12
Turkey,2022-05-01,Protests,343
Turkey,2022-05-01,Riots,5
Turkey,2022-05-01,Strategic developments,134
Turkey,2022-05-01,Violence against civilians,5
Uganda,2022-05-01,Battles,8
Uganda,2022-05-01,Explosions/Remote violence,0
Uganda,2022-05-01,Protests,19
Uganda,2022-05-01,Riots,16
Uganda,2022-05-01,Strategic developments,2
Uganda,2022-05-01,Violence against civilians,16
Ukraine,2022-05-01,Battles,602
Ukraine,2022-05-01,Explosions/Remote violence,2131
Ukraine,2022-05-01,Protests,13
Ukraine,2022-05-01,Riots,1
Ukraine,2022-05-01,Strategic developments,380
Ukraine,2022-05-01,Violence against civilians,76
Venezuela,2022-05-01,Battles,30
Venezuela,2022-05-01,Explosions/Remote violence,3
Venezuela,2022-05-01,Protests,203
Venezuela,2022-05-01,Riots,3
Venezuela,2022-05-01,Strategic developments,6
Venezuela,2022-05-01,Violence against civilians,18
Yemen,2022-05-01,Battles,123
Yemen,2022-05-01,Explosions/Remote violence,430
Yemen,2022-05-01,Protests,32
Yemen,2022-05-01,Riots,0
Yemen,2022-05-01,Strategic developments,70
Yemen,2022-05-01,Violence against civilians,41
Zambia,2022-05-01,Battles,0
Zambia,2022-05-01,Explosions/Remote violence,0
Zambia,2022-05-01,Protests,4
Zambia,2022-05-01,Riots,0
Zambia,2022-05-01,Strategic developments,1
Zambia,2022-05-01,Violence against civilians,1
Armenia,2022-05-01,Battles,3
Armenia,2022-05-01,Explosions/Remote violence,2
Armenia,2022-05-01,Protests,63
Armenia,2022-05-01,Riots,2
Armenia,2022-05-01,Strategic developments,0
Armenia,2022-05-01,Violence against civilians,0
Djibouti,2022-05-01,Battles,0
Djibouti,2022-05-01,Explosions/Remote violence,0
Djibouti,2022-05-01,Protests,1
Djibouti,2022-05-01,Riots,0
Djibouti,2022-05-01,Strategic developments,0
Djibouti,2022-05-01,Violence against civilians,2
Mauritania,2022-05-01,Battles,0
Mauritania,2022-05-01,Explosions/Remote violence,0
Mauritania,2022-05-01,Protests,24
Mauritania,2022-05-01,Riots,0
Mauritania,2022-05-01,Strategic developments,1
Mauritania,2022-05-01,Violence against civilians,0
Morocco,2022-05-01,Battles,0
Morocco,2022-05-01,Explosions/Remote violence,0
Morocco,2022-05-01,Protests,107
Morocco,2022-05-01,Riots,2
Morocco,2022-05-01,Strategic developments,2
Morocco,2022-05-01,Violence against civilians,8
Nepal,2022-05-01,Battles,0
Nepal,2022-05-01,Explosions/Remote violence,4
Nepal,2022-05-01,Protests,137
Nepal,2022-05-01,Riots,237
Nepal,2022-05-01,Strategic developments,4
Nepal,2022-05-01,Violence against civilians,7
Saudi Arabia,2022-05-01,Battles,0
Saudi Arabia,2022-05-01,Explosions/Remote violence,0
Saudi Arabia,2022-05-01,Protests,0
Saudi Arabia,2022-05-01,Riots,0
Saudi Arabia,2022-05-01,Strategic developments,1
Saudi Arabia,2022-05-01,Violence against civilians,0
Tunisia,2022-05-01,Battles,0
Tunisia,2022-05-01,Explosions/Remote violence,0
Tunisia,2022-05-01,Protests,68
Tunisia,2022-05-01,Riots,8
Tunisia,2022-05-01,Strategic developments,0
Tunisia,2022-05-01,Violence against civilians,0
United States,2022-05-01,Battles,0
United States,2022-05-01,Explosions/Remote violence,0
United States,2022-05-01,Protests,1506
United States,2022-05-01,Riots,17
United States,2022-05-01,Strategic developments,42
United States,2022-05-01,Violence against civilians,10
Albania,2022-05-01,Battles,0
Albania,2022-05-01,Explosions/Remote violence,0
Albania,2022-05-01,Protests,13
Albania,2022-05-01,Riots,0
Albania,2022-05-01,Strategic developments,0
Albania,2022-05-01,Violence against civilians,0
Andorra,2022-05-01,Battles,0
Andorra,2022-05-01,Explosions/Remote violence,0
Andorra,2022-05-01,Protests,1
Andorra,2022-05-01,Riots,0
Andorra,2022-05-01,Strategic developments,0
Andorra,2022-05-01,Violence against civilians,0
Angola,2022-05-01,Battles,0
Angola,2022-05-01,Explosions/Remote violence,0
Angola,2022-05-01,Protests,10
Angola,2022-05-01,Riots,2
Angola,2022-05-01,Strategic developments,0
Angola,2022-05-01,Violence against civilians,0
Argentina,2022-05-01,Battles,0
Argentina,2022-05-01,Explosions/Remote violence,0
Argentina,2022-05-01,Protests,192
Argentina,2022-05-01,Riots,7
Argentina,2022-05-01,Strategic developments,0
Argentina,2022-05-01,Violence against civilians,2
Australia,2022-05-01,Battles,0
Australia,2022-05-01,Explosions/Remote violence,0
Australia,2022-05-01,Protests,73
Australia,2022-05-01,Riots,0
Australia,2022-05-01,Strategic developments,1
Australia,2022-05-01,Violence against civilians,0
Austria,2022-05-01,Battles,0
Austria,2022-05-01,Explosions/Remote violence,0
Austria,2022-05-01,Protests,22
Austria,2022-05-01,Riots,1
Austria,2022-05-01,Strategic developments,0
Austria,2022-05-01,Violence against civilians,0
Bahrain,2022-05-01,Battles,0
Bahrain,2022-05-01,Explosions/Remote violence,0
Bahrain,2022-05-01,Protests,29
Bahrain,2022-05-01,Riots,2
Bahrain,2022-05-01,Strategic developments,2
Bahrain,2022-05-01,Violence against civilians,1
Belarus,2022-05-01,Battles,0
Belarus,2022-05-01,Explosions/Remote violence,0
Belarus,2022-05-01,Protests,8
Belarus,2022-05-01,Riots,0
Belarus,2022-05-01,Strategic developments,2
Belarus,2022-05-01,Violence against civilians,5
Belgium,2022-05-01,Battles,0
Belgium,2022-05-01,Explosions/Remote violence,0
Belgium,2022-05-01,Protests,47
Belgium,2022-05-01,Riots,2
Belgium,2022-05-01,Strategic developments,0
Belgium,2022-05-01,Violence against civilians,0
Bolivia,2022-05-01,Battles,0
Bolivia,2022-05-01,Explosions/Remote violence,0
Bolivia,2022-05-01,Protests,59
Bolivia,2022-05-01,Riots,8
Bolivia,2022-05-01,Strategic developments,0
Bolivia,2022-05-01,Violence against civilians,0
Bosnia and Herzegovina,2022-05-01,Battles,0
Bosnia and Herzegovina,2022-05-01,Explosions/Remote violence,0
Bosnia and Herzegovina,2022-05-01,Protests,17
Bosnia and Herzegovina,2022-05-01,Riots,0
Bosnia and Herzegovina,2022-05-01,Strategic developments,2
Bosnia and Herzegovina,2022-05-01,Violence against civilians,0
Bulgaria,2022-05-01,Battles,0
Bulgaria,2022-05-01,Explosions/Remote violence,0
Bulgaria,2022-05-01,Protests,49
Bulgaria,2022-05-01,Riots,1
Bulgaria,2022-05-01,Strategic developments,0
Bulgaria,2022-05-01,Violence against civilians,0
Cambodia,2022-05-01,Battles,0
Cambodia,2022-05-01,Explosions/Remote violence,0
Cambodia,2022-05-01,Protests,12
Cambodia,2022-05-01,Riots,0
Cambodia,2022-05-01,Strategic developments,0
Cambodia,2022-05-01,Violence against civilians,1
Canada,2022-05-01,Battles,0
Canada,2022-05-01,Explosions/Remote violence,0
Canada,2022-05-01,Protests,182
Canada,2022-05-01,Riots,1
Canada,2022-05-01,Strategic developments,1
Canada,2022-05-01,Violence against civilians,0
Cape Verde,2022-05-01,Battles,0
Cape Verde,2022-05-01,Explosions/Remote violence,0
Cape Verde,2022-05-01,Protests,2
Cape Verde,2022-05-01,Riots,0
Cape Verde,2022-05-01,Strategic developments,0
Cape Verde,2022-05-01,Violence against civilians,0
China,2022-05-01,Battles,1
China,2022-05-01,Explosions/Remote violence,0
China,2022-05-01,Protests,49
China,2022-05-01,Riots,6
China,2022-05-01,Strategic developments,2
China,2022-05-01,Violence against civilians,14
Costa Rica,2022-05-01,Battles,0
Costa Rica,2022-05-01,Explosions/Remote violence,0
Costa Rica,2022-05-01,Protests,27
Costa Rica,2022-05-01,Riots,0
Costa Rica,2022-05-01,Strategic developments,1
Costa Rica,2022-05-01,Violence against civilians,2
Croatia,2022-05-01,Battles,0
Croatia,2022-05-01,Explosions/Remote violence,0
Croatia,2022-05-01,Protests,23
Croatia,2022-05-01,Riots,0
Croatia,2022-05-01,Strategic developments,0
Croatia,2022-05-01,Violence against civilians,0
Cuba,2022-05-01,Battles,0
Cuba,2022-05-01,Explosions/Remote violence,0
Cuba,2022-05-01,Protests,1
Cuba,2022-05-01,Riots,4
Cuba,2022-05-01,Strategic developments,22
Cuba,2022-05-01,Violence against civilians,3
Cyprus,2022-05-01,Battles,1
Cyprus,2022-05-01,Explosions/Remote violence,0
Cyprus,2022-05-01,Protests,26
Cyprus,2022-05-01,Riots,3
Cyprus,2022-05-01,Strategic developments,2
Cyprus,2022-05-01,Violence against civilians,0
Czech Republic,2022-05-01,Battles,0
Czech Republic,2022-05-01,Explosions/Remote violence,0
Czech Republic,2022-05-01,Protests,14
Czech Republic,2022-05-01,Riots,0
Czech Republic,2022-05-01,Strategic developments,31
Czech Republic,2022-05-01,Violence against civilians,0
Denmark,2022-05-01,Battles,0
Denmark,2022-05-01,Explosions/Remote violence,0
Denmark,2022-05-01,Protests,45
Denmark,2022-05-01,Riots,0
Denmark,2022-05-01,Strategic developments,0
Denmark,2022-05-01,Violence against civilians,0
Dominican Republic,2022-05-01,Battles,0
Dominican Republic,2022-05-01,Explosions/Remote violence,0
Dominican Republic,2022-05-01,Protests,7
Dominican Republic,2022-05-01,Riots,7
Dominican Republic,2022-05-01,Strategic developments,1
Dominican Republic,2022-05-01,Violence against civilians,3
East Timor,2022-05-01,Battles,0
East Timor,2022-05-01,Explosions/Remote violence,0
East Timor,2022-05-01,Protests,0
East Timor,2022-05-01,Riots,0
East Timor,2022-05-01,Strategic developments,0
East Timor,2022-05-01,Violence against civilians,0
Ecuador,2022-05-01,Battles,1
Ecuador,2022-05-01,Explosions/Remote violence,0
Ecuador,2022-05-01,Protests,36
Ecuador,2022-05-01,Riots,7
Ecuador,2022-05-01,Strategic developments,0
Ecuador,2022-05-01,Violence against civilians,4
Estonia,2022-05-01,Battles,0
Estonia,2022-05-01,Explosions/Remote violence,0
Estonia,2022-05-01,Protests,5
Estonia,2022-05-01,Riots,0
Estonia,2022-05-01,Strategic developments,0
Estonia,2022-05-01,Violence against civilians,0
Finland,2022-05-01,Battles,0
Finland,2022-05-01,Explosions/Remote violence,0
Finland,2022-05-01,Protests,40
Finland,2022-05-01,Riots,0
Finland,2022-05-01,Strategic developments,0
Finland,2022-05-01,Violence against civilians,0
France,2022-05-01,Battles,0
France,2022-05-01,Explosions/Remote violence,0
France,2022-05-01,Protests,433
France,2022-05-01,Riots,14
France,2022-05-01,Strategic developments,15
France,2022-05-01,Violence against civilians,3
French Guiana,2022-05-01,Battles,0
French Guiana,2022-05-01,Explosions/Remote violence,0
French Guiana,2022-05-01,Protests,3
French Guiana,2022-05-01,Riots,0
French Guiana,2022-05-01,Strategic developments,0
French Guiana,2022-05-01,Violence against civilians,0
French Polynesia,2022-05-01,Battles,0
French Polynesia,2022-05-01,Explosions/Remote violence,0
French Polynesia,2022-05-01,Protests,1
French Polynesia,2022-05-01,Riots,0
